"filename", "language", "Ignore", "Shell Script", "Docker", "Python", "HTML", "Markdown", "JavaScript", "JSON", "Less", "XML", "JSON with Comments", "CSS", "Ini", "toml", "comment", "blank", "total"
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/codeMirror/editorThemes.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 1, 70
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/fonts/5e legacy/fonts.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 4, 62
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/fonts/5e/dicefont.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 3, 1, 118
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/fonts/5e/dicefont_license.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/fonts/5e/fonts.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 5, 13, 145
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/fonts/Journal/fonts.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 7, 59
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/fonts/icon fonts/font-icons.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 7, 8, 224
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/phb.depricated.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 1, 31
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/themes.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 40
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/storegenerator/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/storegenerator/block_builder.py", "Python", 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31, 421
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/storegenerator/sd_generator.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/storegenerator/store_helper.py", "Python", 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32, 334
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/tests/_cloudflare.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 61
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/tests/_store_router.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 26
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/tests/cloudflareR2/_cloudflareR2.py", "Python", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37, 205
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/tests/cloudflareR2/_r2_config.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 50
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/tests/cloudflareR2/r2_config.py", "Python", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 48
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/tests/cloudflareR2/store.html", "HTML", 0, 0, 0, 0, 621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 627
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/tests/conftest.py", "Python", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 33
